round,client_drift,global_weight_norm,test_balanced_accuracy,test_macro_f1,test_accuracy,test_loss
1,3.474017780437612,98.15194622839975,0.125,0.08132617527568195,0.4821505376344086,1.8333133071981451
2,2.286130031545303,98.05463846716702,0.125,0.08132617527568195,0.4821505376344086,1.8745248668424546
3,1.5544107831199223,97.96129670573573,0.125,0.08132617527568195,0.4821505376344086,1.9206984821442634
4,1.4177236981095422,97.87005494600126,0.125,0.023214982442450252,0.10236559139784947,1.973605199834352
5,1.32199646549539,97.77851788131014,0.125,0.002922422954303932,0.011827956989247311,1.9691206192201183
6,1.2781879413710229,97.68657418626536,0.12572479928635147,0.004371734277533152,0.014623655913978495,1.9626920876964447
7,1.2801001053448398,97.59605652071807,0.125,0.08132617527568195,0.4821505376344086,1.9566111069853587
8,1.2619074060049305,97.50615753872378,0.15316714330692133,0.11012706131361438,0.44,1.9667925689553702
9,1.2859432779584663,97.41675346691716,0.13743406297296,0.11132408886592454,0.46043010752688174,1.9523602866101009
10,1.3413706194159072,97.32871017562555,0.17922190905972946,0.15000716131328196,0.4152688172043011,1.8899857376467797
11,1.6190936963878597,97.24394451608445,0.1697971538703323,0.14457142804672218,0.45204301075268816,1.824255725081249
12,1.5985702958408279,97.16499288918338,0.2161659721168402,0.15942844956267171,0.4180645161290323,1.775461661738734
13,1.689994266015221,97.0930046054378,0.21116250134737607,0.1598342702423734,0.4270967741935484,1.7179532006991807
14,1.762060174095492,97.01964185025687,0.22274658456863677,0.15494943495942776,0.39763440860215055,1.6850851915215934
15,1.644206367893263,96.95067343284447,0.21867365053574112,0.15764896437135117,0.3963440860215054,1.720931815383255
16,1.6873187547403592,96.88281327655405,0.21463975945612906,0.1572576401217578,0.39978494623655914,1.6950565628338885
17,1.6672244285283568,96.82049740572832,0.24458272637104822,0.16912457173418075,0.4043010752688172,1.702220839787555
18,1.6838334671666024,96.75974168223257,0.24408938247665746,0.16591600935997944,0.3991397849462366,1.7155325295335504
19,1.679212650513976,96.70216904197532,0.240603473211094,0.15944649191547955,0.3804301075268817,1.7552413300032257
20,1.690113844553262,96.64455611033381,0.242273271059729,0.1546935650759799,0.3589247311827957,1.77049578502614
21,1.6178826996808848,96.58793984968095,0.24996632646504074,0.1634242804257951,0.38731182795698926,1.7392166119749828
22,1.5813462326460819,96.53247839169379,0.24045106447728518,0.1577676289410801,0.37569892473118277,1.7837302953453473
23,1.6371560005209924,96.4791364244201,0.24229363144487182,0.15528027021276158,0.3561290322580645,1.7942201024742537
24,1.621146932661899,96.43099847287755,0.2381088071143076,0.15277959758170545,0.3518279569892473,1.7925483807184364
25,1.618942440993786,96.38674333369406,0.23967245802863502,0.15220216903253023,0.3417204301075269,1.7955591322786064
26,1.6198879167855444,96.34335339833568,0.23787713496838342,0.15618659887981434,0.3602150537634409,1.7505974823941466
27,1.639369809661919,96.29858561907324,0.23880358219354825,0.15127981667218224,0.3389247311827957,1.7715708752601378
28,1.6369963405409533,96.2625108441392,0.23919720002335865,0.14161373390037973,0.2896774193548387,1.94239899563533
29,1.6240803789926739,96.22575436045189,0.2350409082438218,0.15326916591042566,0.35333333333333333,1.7778612134277179
30,1.5955443072669817,96.19193677851528,0.2388192912129167,0.1517398648894393,0.3501075268817204,1.794540382149399
