round,client_drift,global_weight_norm,test_balanced_accuracy,test_macro_f1,test_accuracy,test_loss
1,3.6999127105867053,98.12212553138329,0.125,0.08132617527568195,0.4821505376344086,1.596663938235211
2,8.33689897311197,98.25346397734869,0.125,0.08132617527568195,0.4821505376344086,1.7211058954013292
3,2.9365033256305044,98.2700933794897,0.125,0.08132617527568195,0.4821505376344086,1.6493267101369877
4,1.392531304500548,98.21741932687483,0.125,0.08132617527568195,0.4821505376344086,1.6605282557907926
5,0.9612095169973545,98.17117372074466,0.125,0.08132617527568195,0.4821505376344086,1.6793399334466586
6,0.8261581214770063,98.13014932818953,0.125,0.08132617527568195,0.4821505376344086,1.6540617826420774
7,0.8492757732723044,98.09282260755215,0.125,0.08132617527568195,0.4821505376344086,1.6194470670659056
8,0.8841732307935631,98.05685414491106,0.1270135696150415,0.0840709795979184,0.4808602150537634,1.597868448380501
9,0.9038593788963825,98.02104291057964,0.16095905098469773,0.09227534524510767,0.4668817204301075,1.5928592777252197
10,0.9074837039125487,97.98477137459547,0.17679449721973467,0.10774546460603682,0.46301075268817204,1.5998036048745596
11,0.9385679618058157,97.9492929370202,0.1436586171214523,0.10518083926737311,0.47053763440860213,1.6232690939339258
12,1.0240219597566222,97.91531905734008,0.17975094381401774,0.12853961416990342,0.46365591397849465,1.6217779002651092
13,0.9847924516147235,97.8819884215181,0.18498534904251965,0.10725110194427731,0.46236559139784944,1.5923777574108493
14,0.8191133266872975,97.84680561151278,0.1737518787949732,0.11749686203305572,0.46559139784946235,1.5896725308510564
15,0.917576337380963,97.81185009855018,0.17090895834762918,0.09429888268156424,0.46903225806451615,1.6335764916737874
16,1.0327669253348821,97.77769930537976,0.1879450932915539,0.10937452773198023,0.4591397849462366,1.6130426092045282
17,0.9955831566219971,97.74409661861407,0.19527040985199406,0.11939602706436202,0.43290322580645163,1.639999469480207
18,0.9062220086828267,97.70882747158007,0.16935728187958338,0.12163786827139648,0.469247311827957,1.6431748631179974
19,0.8846009061061985,97.67384294758132,0.18523341196768284,0.10046573719633335,0.4595698924731183,1.6510783264713902
20,0.9795795488528817,97.63980659421053,0.20542071731595268,0.12096080774615223,0.4363440860215054,1.6178252686736405
21,0.839960175150443,97.60576207356267,0.21770365496653737,0.13099570118862458,0.43827956989247313,1.6020019261555005
22,0.8006534794356291,97.57094012600076,0.1955753752596776,0.1288604542547239,0.44666666666666666,1.603732996653485
23,0.8850279833252257,97.53744195157552,0.21450776423555457,0.13439966592745944,0.447741935483871,1.5897591125324209
24,0.9576721694904823,97.50391007115769,0.19146299042564194,0.12801809366983463,0.45978494623655913,1.6124134446215885
25,1.0067337968505214,97.47069150173647,0.18813457001360395,0.1245482937258782,0.4591397849462366,1.5931733144226894
26,0.9193145520695339,97.43622797229666,0.18815908038565812,0.12391054181072972,0.4578494623655914,1.6050504650608186
27,0.9281165681527807,97.40238976110324,0.21156283253468938,0.12588652882963708,0.4567741935483871,1.5955889428046441
28,0.9251042697641548,97.36799888122884,0.21210274200769458,0.137848891581791,0.4541935483870968,1.5949593317893243
29,0.870567434615964,97.33450039451904,0.19616171322776957,0.13890510255997138,0.44967741935483874,1.596438988613826
30,0.9179184159739302,97.30103547653229,0.21401296611929985,0.14772105220195592,0.430752688172043,1.591746465929093
