epoch,train_loss,train_balanced_accuracy,test_balanced_accuracy,test_macro_f1,test_accuracy,test_loss
1,2.10215849206372,0.16654813722441858,0.15914699334881344,0.06528819660233286,0.14881720430107526,2.19970891721787
2,1.958326017837381,0.20708362099776287,0.21619918929858226,0.1573803910375097,0.4638709677419355,1.527149375433563
3,1.9195956472809887,0.2247145205302555,0.22335720493938205,0.17261389246379083,0.42731182795698924,1.691021803271386
4,1.901236813149101,0.2292398251809042,0.22042258229881073,0.197029351167614,0.44086021505376344,1.7395154178270729
5,1.8904604934864566,0.23702012395455843,0.2221610743165328,0.20397432020011802,0.515483870967742,1.4959729181310182
6,1.8715954717290715,0.24440118947664027,0.2566329734514952,0.1927065383888654,0.43333333333333335,1.5967313561900969
7,1.846413312901226,0.2627946995819714,0.2794418119915082,0.22114801761231995,0.478494623655914,1.5462860682702833
8,1.8120277330863868,0.2854702542263152,0.2522036052137149,0.16296003554652563,0.4406451612903226,1.7194808275468887
9,1.7581535510514643,0.3113383971067919,0.2872539619234532,0.17916063551883704,0.2806451612903226,1.8842578203960132
10,1.7140604415162797,0.32068140856244165,0.32943454106123243,0.23673835057147904,0.47677419354838707,1.450031410032703
11,1.6724831343722049,0.3412401128641034,0.31902937047181645,0.2093049105559638,0.31763440860215053,1.8413830986843314
12,1.6379631317667522,0.3601969320710203,0.3761010252862709,0.28197752837218454,0.5088172043010752,1.3897927806710684
13,1.6085327667039546,0.3733215190278416,0.35303379536221646,0.2427549320536359,0.44666666666666666,1.5248944266124438
14,1.5937190288372542,0.37898909884699705,0.3740462237825797,0.2665090889651238,0.43548387096774194,1.5653820756173904
15,1.5898595445582715,0.3846772353741956,0.37967889740199273,0.276588898064054,0.4649462365591398,1.4194070763229043
16,1.5481915895430265,0.40400573075224916,0.3804350270613738,0.2735937647050807,0.48408602150537633,1.4063282999941098
17,1.5207401849709807,0.41615321118106596,0.3712087942843895,0.24200253462512306,0.3823655913978495,1.544378325913542
18,1.5015798432092908,0.419183676768174,0.4031262998492201,0.3093978296902976,0.5081720430107527,1.3415859978686098
19,1.49519169759776,0.4297281678759115,0.406237865207473,0.31905146797620587,0.5086021505376344,1.3436978983622725
20,1.4676243529276205,0.432577067023292,0.4047339173211524,0.29838771641442946,0.4978494623655914,1.3191376888111073
21,1.4598148834442721,0.44147958562594514,0.4011474195712894,0.29376460640545615,0.4653763440860215,1.4122499180865544
22,1.4526738553582692,0.44671120866147906,0.37123827060575615,0.27110742193591275,0.4524731182795699,1.4102813466902702
23,1.4260934313928357,0.45521260994947976,0.4306057491522629,0.30876003825256065,0.496989247311828,1.307609127670206
24,1.4305903626859091,0.4493958208178983,0.4304642608616727,0.3069391293132866,0.489247311827957,1.3556756767149893
25,1.413647416456613,0.4600435608972568,0.4026818034246604,0.3068258161231091,0.4866666666666667,1.3839666436308173
26,1.4013776842911099,0.45967963708812937,0.4319948423054074,0.3047580992224694,0.46365591397849465,1.402577658827587
27,1.3801508625305705,0.46517839869679667,0.4315951873762204,0.3371388324244498,0.5243010752688172,1.2674080360063942
28,1.3735620924249123,0.4727459443738585,0.42781346249712504,0.32744115390754636,0.5111827956989248,1.2988809028235815
29,1.3734212165106887,0.4809074647902801,0.43669844773844324,0.3158817021640821,0.4941935483870968,1.3692855072021484
30,1.3554722331404239,0.4832913864896904,0.45150867431912656,0.330372024311902,0.4978494623655914,1.3405969638721917
