epoch,train_loss,train_balanced_accuracy,test_balanced_accuracy,test_macro_f1,test_accuracy,test_loss
1,2.0880318532253965,0.17583015862906134,0.2053525111306858,0.12654121087443773,0.4563440860215054,1.4783825292894917
2,1.9453028717199876,0.20996852794187,0.22659278946351347,0.1892102271986399,0.42752688172043013,1.6518949488157868
3,1.9293309975413466,0.22159894819997678,0.20475201649671382,0.12654029714724038,0.369247311827957,1.80757986094362
4,1.8996053995591604,0.23631264053440004,0.2540525519894299,0.2034353553347316,0.45978494623655913,1.5978021308939945
5,1.8856358653688097,0.2407766590800372,0.2639335501907246,0.21099337860220763,0.40064516129032257,1.6722755448023479
6,1.8583685421674627,0.25827977957904646,0.26345270634259677,0.24934085046018373,0.5266666666666666,1.439693527119134
7,1.831662243121033,0.27863751051231933,0.2947184849498928,0.23514101408947927,0.47139784946236557,1.44933033938049
8,1.7893206722822195,0.29207926685146945,0.3149881709317991,0.24026929260409247,0.47483870967741937,1.4926522027805287
9,1.7401353984927055,0.3164119845727547,0.30908827809502143,0.26575148207064286,0.516774193548387,1.3981318078502531
10,1.7141340272776353,0.3230570677955697,0.3397722594195996,0.23260581770084335,0.4483870967741935,1.4648902222418017
11,1.6563487937538808,0.3382491137313368,0.3522918316766772,0.26078681314888086,0.43483870967741933,1.501151779800333
12,1.6477722085207653,0.36093199230723805,0.3532013534332282,0.2619825783036426,0.4036559139784946,1.5275438193864719
13,1.6154663101567304,0.3659313577376513,0.3586848845078707,0.26309684112117193,0.48236559139784946,1.3787822396268128
14,1.5988090958152004,0.38257577667051895,0.3347584112227009,0.23363282259861565,0.37032258064516127,1.612660211593874
15,1.5797222942386118,0.3794507749962417,0.3781612817196064,0.25720860806419277,0.3931182795698925,1.5206899201998147
16,1.5634305274082985,0.38327238144893383,0.38289274991202915,0.24926834143940615,0.4150537634408602,1.4692374654995497
17,1.5389485306024935,0.4050672854080168,0.39073850640654617,0.2595472632241872,0.45806451612903226,1.3896817724679107
18,1.531825244394699,0.40835643337188704,0.39553739090019663,0.31213368410119685,0.5146236559139785,1.2717327506567841
19,1.51379490827502,0.4192561020314912,0.4048065932923737,0.31209087763076393,0.48946236559139783,1.3446180564101025
20,1.5075481722010264,0.41879368853645377,0.39081650241010446,0.32257200321681123,0.45440860215053763,1.3787981567075176
21,1.5030340511013525,0.4206220419149258,0.40732363197974886,0.3085725379420705,0.4513978494623656,1.439474066406168
22,1.4741170874114706,0.44012823140656654,0.39665133220497323,0.2878512013945069,0.4103225806451613,1.4861202950631418
23,1.4664926006869563,0.4345673164981941,0.4268032725807689,0.256180960868605,0.37548387096774194,1.550537995010294
24,1.455426314580447,0.4403912059040293,0.4489893025939127,0.3385698035410827,0.48795698924731185,1.3592863707901328
25,1.4441633705552197,0.442074081116936,0.41430984816832617,0.24347075283897204,0.3141935483870968,1.787456792195638
26,1.4328053577301132,0.452501622216922,0.41694550707588984,0.30506186606818275,0.43913978494623657,1.4328416088575957
27,1.4235444511219355,0.45537044118992237,0.4315190571374494,0.3061398296275185,0.5058064516129033,1.3598415572668916
28,1.4147126640702115,0.472848154555847,0.4586316482782908,0.34412677331089514,0.4939784946236559,1.3428852400215723
29,1.3881583655155967,0.4790035927815,0.41738941265372353,0.29770201128393925,0.4731182795698925,1.3261465110060988
30,1.3959619487119836,0.47414525609865965,0.44146761318451677,0.3120154491085263,0.4546236559139785,1.4687645513267926
