round,client_drift,global_weight_norm,test_balanced_accuracy,test_macro_f1,test_accuracy,test_loss
1,21.909996530308216,85.48063694624378,0.1270530859756142,0.08738307919818877,0.48236559139784946,1.7134729528939852
2,18.081025535606337,72.58832071846452,0.18956899380464215,0.09702818613667423,0.3339784946236559,1.8461972250989689
3,13.74119423932082,65.76866784051266,0.19323357678161687,0.1002762415093031,0.341505376344086,1.8136788547679943
4,12.546977231407217,60.88245788066276,0.1979508628932069,0.10300874949480746,0.3668817204301075,1.7663399555862591
5,11.704127735880554,56.6625774787595,0.20087207258390227,0.15164775364359562,0.41376344086021505,1.7170013191879436
6,11.364733384769098,53.17178391937883,0.2069996007629339,0.1823085952111708,0.45376344086021503,1.694734679550253
7,11.058335293428959,50.38599160303456,0.21271019167831898,0.19272606174386625,0.4632258064516129,1.7086222504544002
8,10.443816182607234,48.26154165825952,0.2340903154209276,0.19950473972549432,0.4612903225806452,1.7217457840006838
9,9.868033008985908,46.684173134892816,0.21592327353713284,0.19673058245792818,0.46301075268817204,1.6421687748611615
10,9.76086170127318,45.47484108312832,0.22081597220680999,0.18562164982008453,0.4535483870967742,1.6451496049921999
11,9.406856594471483,44.43052354002215,0.21859379367665038,0.17619633874426308,0.432258064516129,1.6703008836828253
12,8.94604508609183,43.61135548142257,0.23885040860315637,0.1818559593272845,0.4288172043010753,1.6789768626613002
13,8.399940917656918,43.0636935107279,0.24403949564142918,0.19702821506388873,0.4313978494623656,1.6765479732841573
14,8.072561780026382,42.37895584879299,0.25429445507680515,0.20929197620523704,0.42301075268817206,1.6948909608779414
15,8.171803203219472,41.934397005604,0.26498879614751447,0.2114185480221105,0.4243010752688172,1.6872763441454979
16,8.034772177278603,41.68515486933491,0.2709729186995178,0.22059426199119703,0.43569892473118277,1.6299788642698718
17,8.144252194778542,41.39492388704478,0.27588774675093874,0.22464283747716995,0.42494623655913977,1.6689228956673734
18,8.14947437565165,41.23947485393282,0.2810088519278879,0.22511851055871715,0.43827956989247313,1.6148567683209656
19,7.8710112326476205,41.1116622840726,0.27547786764120047,0.22423425371459835,0.4206451612903226,1.6631788673195789
20,7.833208405655973,41.135577095816075,0.2827194253226045,0.22528889323561782,0.4316129032258065,1.6247272524269678
21,8.118008571649243,41.18843509816607,0.2783442496650148,0.2189000589337594,0.3935483870967742,1.6901994850814983
22,8.086758049445889,41.26442331150662,0.2800881092947541,0.21909821262121731,0.3965591397849462,1.6773298658863192
23,7.981740332385113,41.33486253107895,0.2827308905609649,0.21813136657348742,0.39268817204301076,1.6592192804172474
24,7.948831742787536,41.4788264138541,0.2705528500158354,0.21210945619429758,0.37376344086021507,1.7123833725529332
25,8.02245569176994,41.708584761485966,0.27315962991793186,0.2043844250452167,0.3610752688172043,1.713893026177601
26,7.975286741678175,41.88982153268809,0.28690303530536676,0.20444805817081113,0.38881720430107525,1.663721726991797
27,8.032688291201383,42.153997045078206,0.28698443733203843,0.20975863959455823,0.3851612903225806,1.6915385700041248
28,8.321878987849752,42.275049135693074,0.2915237892146739,0.19742588921061222,0.34086021505376346,1.792406167625099
29,8.13786208754034,42.634646777306685,0.30325082807151,0.2032078245589197,0.4,1.6413456255902525
30,8.187611557725978,42.87569557374163,0.30609938175841145,0.21984933091689057,0.3909677419354839,1.7038064139889133
