round,client_drift,global_weight_norm,test_balanced_accuracy,test_macro_f1,test_accuracy,test_loss,epsilon_max,epsilon_mean,delta
1,14.544294101601901,99.49624003964767,0.125,0.08132617527568195,0.4821505376344086,2.3467703143755596,2.3033931587470153,1.0774775103121816,1e-05
2,14.542479655762259,100.73006251944517,0.125,0.08132617527568195,0.4821505376344086,2.1202534435897746,3.1473457076237317,1.4421396301943237,1e-05
3,14.541088901591587,101.93775259713843,0.125,0.08132617527568195,0.4821505376344086,2.1223310272411635,3.8400627402583574,1.7380971265238172,1e-05
4,14.539256496014161,103.13839337480687,0.125,0.08132617527568195,0.4821505376344086,2.1579559647908773,4.384991226999144,1.9879598358318287,1e-05
5,14.539600928977306,104.33108992852729,0.125,0.08132617527568195,0.4821505376344086,2.1262425505217686,4.918056949543974,2.214512982823747,1e-05
6,14.540846557612497,105.50533267625256,0.125,0.08132617527568195,0.4821505376344086,2.0798191013387455,5.451122672088805,2.434567125553812,1e-05
7,14.543144957026641,106.66082626477275,0.125,0.08132617527568195,0.4821505376344086,2.040864436421343,5.854201332700679,2.6237098827714935,1e-05
8,14.536732977083679,107.80619143934479,0.125,0.08132617527568195,0.4821505376344086,1.9949433538477908,6.249392718967681,2.8002719102361735,1e-05
9,14.542413810079056,108.94119726186494,0.125,0.08132617527568195,0.4821505376344086,2.0277394751323166,6.644584105234683,2.9699838341215794,1e-05
10,14.540633663390736,110.06634332177488,0.12750552178228072,0.0870475301544836,0.48516129032258065,1.9374562668287625,7.039775491501684,3.1386697709607794,1e-05
11,14.53981575153542,111.16766192516215,0.13034692941056322,0.0926972331153762,0.4888172043010753,2.043889415930676,7.434966877768687,3.3050278894874894,1e-05
12,14.540152244866091,112.27179196985347,0.13500279525177244,0.1021590955069695,0.49311827956989246,1.9337870707819538,7.830158264035689,3.4686460201687908,1e-05
13,14.540528032066453,113.36244334608755,0.14848530389481743,0.12442825380160788,0.5064516129032258,1.8363968466174219,8.225349650302691,3.6295402796787006,1e-05
14,14.53798680896177,114.43780097090301,0.1518411546292934,0.13094729648793252,0.5098924731182796,1.9461993295915665,8.620541036569694,3.782031058933312,1e-05
15,14.54034888815543,115.51163597387125,0.15929965000363858,0.14012459140589242,0.5156989247311828,1.8920743942260743,8.938424104440138,3.917015115948582,1e-05
16,14.54003907126546,116.5570800291566,0.17588822354185324,0.16072568809571108,0.5286021505376344,1.7836441188217491,9.214206279399953,4.043349368238318,1e-05
17,14.541492251300625,117.6084107434049,0.18290376485352783,0.17265735290118292,0.5320430107526881,1.767600385835094,9.48998845435977,4.16948974005466,1e-05
18,14.543039354113525,118.64681191231168,0.17955264054932735,0.16461486386225993,0.5311827956989247,1.8001657168839567,9.765770629319587,4.2953424026956935,1e-05
19,14.54079885188108,119.67065726100084,0.1758414318835113,0.16104757643277445,0.5268817204301075,1.849812822982829,10.041552804279402,4.416612199258656,1e-05
20,14.540334519047818,120.68131648716061,0.1812028947137176,0.1687949477732523,0.5316129032258065,1.7934799346359827,10.317334979239217,4.537765645220097,1e-05
21,14.540686869725926,121.67799609589706,0.18504103749402506,0.1752509086569713,0.5361290322580645,1.811618219626847,10.593117154199035,4.658570401439039,1e-05
22,14.541267882020755,122.6772382413363,0.18983054337185387,0.18160135049847353,0.5380645161290323,1.7493486711799457,10.86889932915885,4.77773070326262,1e-05
23,14.541440849606905,123.66713990117265,0.1922284911369475,0.17920164238785047,0.5380645161290323,1.7212296646384784,11.144681504118665,4.896630979472648,1e-05
24,14.537663994712934,124.65324816444415,0.18757535735034092,0.17261357093190963,0.532258064516129,1.7799826364363394,11.420463679078482,5.015531255682677,1e-05
25,14.54065436969704,125.63113655353176,0.19329875793878648,0.17898902388269192,0.5382795698924732,1.7799690453467831,11.696245854038299,5.134431531892705,1e-05
26,14.54029216705653,126.60262761927012,0.19289130069603522,0.17906407809491112,0.5408602150537635,1.8319728285779235,11.972028028998114,5.252267071518323,1e-05
27,14.541218407114044,127.55903330692357,0.1838326736913789,0.16989746265640454,0.5333333333333333,1.919399999598021,12.24781020395793,5.369252116506895,1e-05
28,14.540135437433856,128.5109537276077,0.1858278192547932,0.17146198438189672,0.5303225806451612,1.8834020912262701,12.523592378917748,5.486225120185619,1e-05
29,14.539917315835227,129.46087390350817,0.18429833046692423,0.1705283617657755,0.5339784946236559,1.9032001440499418,12.799374553877563,5.603198123864341,1e-05
30,14.542810101386584,130.39774121209882,0.192857429561048,0.18089552723143532,0.5406451612903226,1.8222012421136262,13.075156728837378,5.717591610489314,1e-05
