round,client_drift,global_weight_norm,test_balanced_accuracy,test_macro_f1,test_accuracy,test_loss
1,3.4813252842389097,98.14441592317554,0.125,0.08132617527568195,0.4821505376344086,1.7433441384633381
2,2.3980749340765724,98.04535190885656,0.125,0.023214982442450252,0.10236559139784947,1.9068484808296287
3,1.8880663474242212,97.95401655446108,0.125,0.023214982442450252,0.10236559139784947,1.9370275787640643
4,1.6541931218920067,97.86366781390684,0.125,0.023214982442450252,0.10236559139784947,1.9274421080209876
5,1.423302924035324,97.77428065452851,0.125,0.08132617527568195,0.4821505376344086,1.8840077507880426
6,1.3988420886130282,97.68859023530372,0.125,0.08132617527568195,0.4821505376344086,1.860524984482796
7,1.4012608549813557,97.60283046211738,0.125,0.08132617527568195,0.4821505376344086,1.851178440073485
8,1.39334654890565,97.51922630898612,0.125,0.08132617527568195,0.4821505376344086,1.8966755978779126
9,1.2690108931412833,97.4378576068614,0.125,0.08132617527568195,0.4821505376344086,1.8651818507717501
10,1.3083307053522415,97.35460974208304,0.125,0.08132617527568195,0.4821505376344086,1.8710079044424077
11,1.276583843667483,97.26539232823278,0.14103249462139894,0.104012348793464,0.46021505376344085,1.8855641103559924
12,1.2326067353547507,97.18086964092394,0.125,0.08132617527568195,0.4821505376344086,1.878849020158091
13,1.3263608270917437,97.09273250853639,0.1261295999220384,0.08456650142318406,0.4817204301075269,1.827579441788376
14,1.4726259731792204,97.01077840708554,0.125,0.08132617527568195,0.4821505376344086,1.7191971410730833
15,1.5166381227050607,96.932904245599,0.14141152669810117,0.10447492075008853,0.47763440860215056,1.6617673605744556
16,1.4878570715089747,96.85461924326414,0.16065240502583636,0.12708526085298114,0.4726881720430108,1.6264563583045877
17,1.526346927644074,96.77841948407672,0.15262611007516888,0.11901542467903453,0.47440860215053765,1.5685019371073734
18,1.5117121776643077,96.70599082250628,0.16186678729224643,0.11834017334737655,0.46946236559139787,1.5491687851054694
19,1.5183435918206438,96.6402683936762,0.15847635081787906,0.13723060006578444,0.4920430107526882,1.5053297216148787
20,1.5190221273121542,96.58256594124059,0.17071967811958522,0.15191782530720627,0.5073118279569893,1.5006096951679517
21,1.5211869468560897,96.5314761639862,0.16996214606331603,0.14751598222809645,0.5098924731182796,1.4952972623353364
22,1.553165449394113,96.48336887411351,0.16647867343174733,0.144428184289435,0.5025806451612903,1.4969751988175095
23,1.5729746724588345,96.43820439113576,0.16670349492512007,0.14427951431260475,0.49483870967741933,1.517839310297402
24,1.5643352911126858,96.39812768082145,0.16249975045815387,0.13867153553503495,0.4720430107526882,1.5322573794088057
25,1.5712501153486016,96.36176250298408,0.15588088120680682,0.12823557545690278,0.4888172043010753,1.5145656030921526
26,1.5698518253495621,96.32900998672766,0.17839596811070546,0.09360582200050578,0.4518279569892473,1.5243521596539404
27,1.6211974520422145,96.29817958597711,0.19066479350266147,0.09889804879298451,0.4320430107526882,1.5312403780414212
28,1.5106322236009682,96.25858796816492,0.20256951056522826,0.11020895401324923,0.4227956989247312,1.5848056042066185
29,1.5915469441337662,96.23313399690791,0.19386373485097053,0.10557871950722962,0.43827956989247313,1.5231995774853615
30,1.518394239212606,96.20886201674948,0.19979212521487014,0.10833481505667997,0.4350537634408602,1.549589040253752
