round,client_drift,global_weight_norm,test_balanced_accuracy,test_macro_f1,test_accuracy,test_loss,epsilon_max,epsilon_mean,delta
1,14.544975060366221,99.50862863045334,0.125,0.08132617527568195,0.4821505376344086,2.050492092306896,0.9253778532864465,0.4160000875696228,1e-05
2,14.543182592154002,100.75486275742041,0.125,0.08132617527568195,0.4821505376344086,2.094167490877131,1.2929196983516273,0.5808664494338583,1e-05
3,14.541740240971535,101.97494139625562,0.125,0.08132617527568195,0.4821505376344086,2.072323252539481,1.583213045111389,0.71065660101748,1e-05
4,14.539900167204815,103.18795116856747,0.125,0.08132617527568195,0.4821505376344086,2.0799313201699206,1.830959493778745,0.8215090132429338,1e-05
5,14.540264712700543,104.39303648097545,0.125,0.08132617527568195,0.4821505376344086,2.0699116869382963,2.05552280835043,0.9210736091943339,1e-05
6,14.541536569595392,105.5796004660835,0.125,0.08132617527568195,0.4821505376344086,2.050612457900919,2.2572914549609426,1.011303995749695,1e-05
7,14.543817386313714,106.74752015006433,0.125,0.08132617527568195,0.4821505376344086,2.0331970813197473,2.4476515127475436,1.095594540374331,1e-05
8,14.537441935892929,107.90531538832025,0.125,0.08132617527568195,0.4821505376344086,2.0269466547812187,2.623871847733545,1.1743983362880488,1e-05
9,14.543125180084894,109.0526929409378,0.125,0.08132617527568195,0.4821505376344086,2.035936356436822,2.8000921827195464,1.2501623490395264,1e-05
10,14.541355529827683,110.19017886078086,0.125,0.08132617527568195,0.4821505376344086,2.018702008878031,2.9558231550435883,1.320563419807899,1e-05
11,14.540513652856417,111.3040037865519,0.125,0.08132617527568195,0.4821505376344086,2.0079971861326564,3.107370283265424,1.3885350712876445,1e-05
12,14.54090078210156,112.4206257746881,0.125,0.08132617527568195,0.4821505376344086,2.0022415007570737,3.25891741148726,1.454014273688169,1e-05
13,14.54126144844629,113.52376379107095,0.125,0.08132617527568195,0.4821505376344086,1.9358598885484921,3.4104645397090962,1.5184809877135714,1e-05
14,14.538711789245028,114.61171313853949,0.125,0.08132617527568195,0.4821505376344086,2.0161097956985556,3.549796928487769,1.5802423018650018,1e-05
15,14.541113135445016,115.69823580407405,0.125,0.08132617527568195,0.4821505376344086,2.0309535009117536,3.6775030203544326,1.6381578091575164,1e-05
16,14.54077947906463,116.7563624632157,0.125,0.08132617527568195,0.4821505376344086,1.9899993035101122,3.805209112221096,1.6946509204294253,1e-05
17,14.542225025136785,117.82037528244963,0.125,0.0813379770715426,0.4821505376344086,1.9164393373458617,3.9329152040877595,1.7505607776769647,1e-05
18,14.543776630539448,118.87164084565624,0.125,0.0813379770715426,0.4821505376344086,1.9315281139137925,4.060621295954423,1.8056989510508892,1e-05
19,14.541517066188446,119.90838367272143,0.12523732944438112,0.0819428040967873,0.48236559139784946,1.9801339606828587,4.1883273878210865,1.86066857070897,1e-05
20,14.541099346552778,120.93196322156116,0.12547465888876222,0.08257241969363563,0.48258064516129034,1.9321465809370881,4.31603347968775,1.9151878380445861,1e-05
21,14.541416590236567,121.94153099488612,0.12620736697785953,0.08415699176088512,0.4836559139784946,1.928770595237773,4.4437395715544135,1.967105594410069,1e-05
22,14.541975213899159,122.95391033979747,0.12938984305797976,0.09083268280275923,0.4875268817204301,1.871090794993985,4.555170959461502,2.0160619811993574,1e-05
23,14.542147765949094,123.95680233949244,0.1326981409999655,0.09724539996560722,0.49118279569892476,1.797548158937885,4.659827442308851,2.063747719561506,1e-05
24,14.538379929154685,124.95606320667041,0.13598571918599728,0.10307720372062709,0.4944086021505376,1.8339074891357012,4.7644839251562,2.1108293534859435,1e-05
25,14.541376823301126,125.94713442418677,0.13939257352960366,0.10852185563191863,0.49849462365591396,1.8242738804253198,4.869140408003549,2.1574838229394193,1e-05
26,14.54098936134387,126.93187708248995,0.1399166455131682,0.1102803290970366,0.49806451612903224,1.8264769837933201,4.973796890850898,2.20390010575397,1e-05
27,14.541926583070664,127.90166280433719,0.1424740367991772,0.11358542785809206,0.5010752688172043,1.8369005523958515,5.078453373698247,2.250256734107324,1e-05
28,14.540837770602833,128.86689646403966,0.14439093570125405,0.11718935505198377,0.5023655913978494,1.8399363566470404,5.183109856545596,2.2959426312981477,1e-05
29,14.540623378262522,129.83025886758946,0.14775389412402656,0.1231365649658741,0.504731182795699,1.8165764774045636,5.287766339392945,2.3416119014941343,1e-05
30,14.543541569958505,130.78062747665234,0.15121793013749424,0.12873104589223358,0.5083870967741936,1.8074152730613626,5.392422822240294,2.3860249046457374,1e-05
