client_id,best_epoch,best_accuracy,best_balanced_accuracy,best_macro_f1,final_accuracy,final_balanced_accuracy,final_macro_f1
0,23,0.6927104309303262,0.5169692481490455,0.5493782370498312,0.6431735803463552,0.5210130410070215,0.5102824357386004
1,15,0.9721871049304678,0.5981296331901984,0.6412613969623315,0.9608091024020228,0.5129398192655259,0.5004071856287424
2,24,0.7276785714285714,0.603748728717017,0.6038182370511015,0.6904761904761905,0.6195443587659452,0.46409161950222166
3,20,0.6172566371681416,0.5772976265063392,0.5870975084333815,0.6017699115044248,0.5133651793057902,0.5333503212588393
4,9,0.6463414634146342,0.6247165532879818,0.6214697939273827,0.5304878048780488,0.5270047412904556,0.46830839002267566
5,24,0.8977272727272727,0.5418543543543544,0.592436974789916,0.8409090909090909,0.38231981981981983,0.3354304635761589
